tconst,startYear,genre,averageRating,numVotes
tt5285048,2016,Comedy,7.6,33
tt5285204,2015,Biography,5.8,115
tt5285270,2015,Documentary,7.6,5
tt5286268,2017,Crime,5.5,2587
tt5286444,2016,Biography,7.6,24724
tt5286900,2015,Drama,5.7,74
tt5287168,2016,History,7.3,8641
tt5287296,2014,Documentary,7.7,45
tt5287852,2016,Drama,4.7,251
tt5287914,2016,Drama,6.2,418
tt5288532,2018,Drama,4.4,190
tt5288552,2016,Fantasy,6.3,567
tt5288646,2017,Comedy,4.7,819
tt5289170,2017,Drama,3.3,159
tt5290794,2015,Romance,6.6,360
tt5291232,2016,Drama,6.8,242
tt5291604,2018,Drama,7.7,1427
tt5291668,2011,Action,4.8,44
tt5291976,2017,Drama,3.4,416
tt5292394,2015,Documentary,7.2,7
tt5292988,2016,Mystery,7.9,12
tt5293458,2016,Documentary,6.4,21
tt5268508,2015,Documentary,6.8,44
tt5270378,2017,Drama,3.5,26
tt5278578,2016,Documentary,6.9,1748
tt5280684,2017,Horror,4.2,2611
tt5281700,2017,Drama,5.4,951
tt5284414,2015,Comedy,7.3,989
tt5292988,2016,Drama,7.9,12
